Source,Target,Type,Weight
13,276,unweighted,1
13,273,unweighted,1
13,16,unweighted,1
13,272,unweighted,1
14,2,unweighted,1
14,3,unweighted,1
14,4,unweighted,1
14,5,unweighted,1
14,6,unweighted,1
14,7,unweighted,1
14,9,unweighted,1
14,10,unweighted,1
14,11,unweighted,1
14,12,unweighted,1
14,251,unweighted,1
14,8,unweighted,1
14,13,unweighted,1
14,274,unweighted,1
14,265,unweighted,1
14,275,unweighted,1
14,15,unweighted,1
14,266,unweighted,1
14,267,unweighted,1
14,268,unweighted,1
14,269,unweighted,1
14,270,unweighted,1
14,271,unweighted,1
14,276,unweighted,1
14,273,unweighted,1
14,16,unweighted,1
14,272,unweighted,1
15,2,unweighted,1
15,3,unweighted,1
15,4,unweighted,1
15,5,unweighted,1
15,6,unweighted,1
15,7,unweighted,1
15,9,unweighted,1
15,10,unweighted,1
15,11,unweighted,1
15,12,unweighted,1
15,251,unweighted,1
15,14,unweighted,1
15,13,unweighted,1
15,274,unweighted,1
15,265,unweighted,1
15,275,unweighted,1
15,8,unweighted,1
15,266,unweighted,1
15,267,unweighted,1
15,268,unweighted,1
15,269,unweighted,1
15,270,unweighted,1
15,271,unweighted,1
15,276,unweighted,1
15,273,unweighted,1
15,16,unweighted,1
15,272,unweighted,1
16,2,unweighted,1
16,3,unweighted,1
16,4,unweighted,1
16,5,unweighted,1
16,6,unweighted,1
16,7,unweighted,1
16,9,unweighted,1
16,10,unweighted,1
16,11,unweighted,1
16,12,unweighted,1
16,251,unweighted,1
16,14,unweighted,1
16,13,unweighted,1
16,274,unweighted,1
16,265,unweighted,1
16,275,unweighted,1
16,15,unweighted,1
16,266,unweighted,1
16,267,unweighted,1
16,268,unweighted,1
16,269,unweighted,1
16,270,unweighted,1
16,271,unweighted,1
16,276,unweighted,1
16,273,unweighted,1
16,8,unweighted,1
16,272,unweighted,1
17,101,unweighted,1
17,277,unweighted,1
17,278,unweighted,1
17,279,unweighted,1
17,227,unweighted,1
17,95,unweighted,1
18,280,unweighted,1
18,281,unweighted,1
18,282,unweighted,1
18,283,unweighted,1
18,284,unweighted,1
18,285,unweighted,1
18,286,unweighted,1
18,287,unweighted,1
18,288,unweighted,1
18,289,unweighted,1
18,290,unweighted,1
18,291,unweighted,1
18,292,unweighted,1
18,293,unweighted,1
18,294,unweighted,1
18,295,unweighted,1
18,296,unweighted,1
18,297,unweighted,1
18,298,unweighted,1
18,299,unweighted,1
18,300,unweighted,1
18,204,unweighted,1
18,301,unweighted,1
18,302,unweighted,1
18,303,unweighted,1
18,304,unweighted,1
18,305,unweighted,1
18,306,unweighted,1
18,307,unweighted,1
18,308,unweighted,1
18,309,unweighted,1
18,310,unweighted,1
18,311,unweighted,1
18,205,unweighted,1
18,312,unweighted,1
18,313,unweighted,1
18,314,unweighted,1
18,315,unweighted,1
18,316,unweighted,1
18,317,unweighted,1
19,318,unweighted,1
19,319,unweighted,1
19,320,unweighted,1
19,321,unweighted,1
19,322,unweighted,1
19,323,unweighted,1
19,324,unweighted,1
19,325,unweighted,1
19,326,unweighted,1
19,327,unweighted,1
19,206,unweighted,1
19,328,unweighted,1
19,329,unweighted,1
19,330,unweighted,1
19,331,unweighted,1
19,332,unweighted,1
19,333,unweighted,1
19,334,unweighted,1
19,335,unweighted,1
19,336,unweighted,1
19,337,unweighted,1
